	precision	precision_weighted	recall	recall_weighted	f1	f1_weighted	accuracy	balanced_accuracy	mcc [-1,1]
random	0.1412904871206325	0.7567214984235856	0.49069973427812225	0.5057673019057171	0.2194059405940594	0.5791043887505298	0.5057673019057172	0.49947576169141983	-0.0007310751699104152
majority	0.0	0.7369370052232928	0.0	0.8584503510531595	0.0	0.7930661207125391	0.8584503510531595	0.5	0.0
beto-fine-tuning	0.5261299435028248	0.8826731075996351	0.6598759964570416	0.867728184553661	0.5854616895874262	0.8737705865865772	0.867728184553661	0.7809384363766149	0.5125718425647104
svc_tfidf	0.4791318864774624	0.855979187952402	0.508414526129318	0.8521815446339017	0.4933390631714654	0.853998801971216	0.8521815446339017	0.7086398612828568	0.40714136148237373
svc_w2vec	0.4593202883625129	0.8397665355444768	0.3950398582816652	0.8485456369107321	0.42476190476190473	0.8437118345948562	0.8485456369107321	0.659181970910951	0.33939647189234956
svc_fasttext	0.4409282700421941	0.8340169509420413	0.37023914968999116	0.8444082246740221	0.40250361097737125	0.838643559082736	0.8444082246740221	0.6464164932034007	0.3154257079013599
svc_infersent	0.4341004184100418	0.8325846412839348	0.3675819309123118	0.8426529588766299	0.3980815347721822	0.8371066362134677	0.8426529588766299	0.6442846123087921	0.3097060186033752
svc_beto	0.506838905775076	0.8706430607507508	0.5907883082373782	0.8607071213640923	0.54560327198364	0.8650696311615413	0.8607071213640923	0.748001135278321	0.46581743565112727
bayes_tfidf	0.5605095541401274	0.85553853756574	0.38972542072630645	0.8703610832497493	0.4597701149425287	0.8602995863771404	0.8703610832497493	0.6696691949549453	0.3971007040151088
bayes_w2vec	0.33125300048007683	0.8413886975076563	0.6111603188662533	0.7703109327983951	0.42963885429638854	0.7958212281587497	0.7703109327983951	0.7038567769298405	0.3235485281886988
bayes_fasttext	0.29357798165137616	0.859384982253941	0.7936226749335695	0.7004764292878636	0.4286055967471897	0.7448913142573408	0.7004764292878636	0.7393701223360706	0.3433569049538607
bayes_infersent	0.29633300297324083	0.8601536130873361	0.7945084145261293	0.7038615847542627	0.43166506256015397	0.7476585497529419	0.7038615847542627	0.7417116338732589	0.3472639870433207
bayes_beto	0.3976190476190476	0.8717814512372412	0.7395925597874224	0.8045386158475426	0.517187983895943	0.8264687788299369	0.8045386158475426	0.777420056730282	0.4391515761811536
random_forest_tfidf	0.4520367936925099	0.8290356504661046	0.3046944198405669	0.8492978936810431	0.364021164021164	0.836598289320722	0.8492978936810431	0.621895917383406	0.2892715979440739
random_forest_w2vec	0.42424242424242425	0.8287856213107258	0.34720992028343667	0.8408976930792377	0.3818801753531417	0.8341275232012716	0.8408976930792377	0.6347558291354383	0.29355031698982675
random_forest_fasttext	0.375	0.8077395737978126	0.21523472099202834	0.8381394182547643	0.27349465391108607	0.8189793384205979	0.8381394182547643	0.5780423641472483	0.1991486259803256
random_forest_infersent	0.38153846153846155	0.8092226484678843	0.21966341895482727	0.8391424272818455	0.27880831928049465	0.8202050084056267	0.8391424272818455	0.5804757871756756	0.20507004584710134
random_forest_beto	0.4988262910798122	0.8442262121824795	0.37643932683790965	0.8581995987963892	0.4290762241292277	0.8496914623149059	0.8581995987963892	0.657038124058651	0.354446323856542
logistic_regression_tfidf	0.558246828143022	0.8595827413266035	0.4286979627989371	0.8711133400200601	0.4849699398797595	0.8638641589626828	0.8711133400200601	0.6863805280622406	0.4174590328013895
logistic_regression_w2v	0.4506353861192571	0.8397631841123624	0.408325952170062	0.8457873620862588	0.42843866171003714	0.8425816401848183	0.8457873620862588	0.6631231046084719	0.34010943311308733
logistic_regression_fasttext	0.44766839378238343	0.8364746376814897	0.3826395039858282	0.8457873620862588	0.4126074498567335	0.8406609725924182	0.8457873620862588	0.6523975963042914	0.3258003957172447
logistic_regression_infersent	0.43600416233090533	0.8332813770139753	0.37112488928255094	0.8430290872617854	0.4009569377990431	0.837671410078858	0.8430290872617854	0.645983066811569	0.31264686778417317
logistic_regression_beto	0.5401459854014599	0.8759633628849909	0.5899025686448184	0.8708625877632898	0.5639288738357325	0.8732114550369077	0.8708625877632898	0.7535462894341369	0.48896330899298107
gpt	0.15361392292665602	0.7835500440029008	0.7661647475642162	0.36935807422266803	0.25591715976331364	0.4249184524750628	0.36935807422266803	0.5350467377371249	0.053630338982078085
beto_fine_tuning	0.5261299435028248	0.8826731075996351	0.6598759964570416	0.867728184553661	0.5854616895874262	0.8737705865865772	0.867728184553661	0.7809384363766149	0.5125718425647104
ensemble_voting	0.5733333333333334	0.8482438337699287	0.3046944198405669	0.8694834503510531	0.3979178716020822	0.8519443804531269	0.8694834503510531	0.6336528912405697	0.35328029096059405
